parameter,dimension,mean,mode,median,hpd_min,hpd_max,mass_fraction,atc_ngml,carbon,temp
fc_mu,1,0.33039594277886436,0.32249894314968897,0.3317148984712096,0.26685043019226506,0.38841484682559757,0.95,0.1,acetate,37
fc_mu,2,0.20818413050771692,0.2779303715997127,0.20932479161737955,0.08540577947647099,0.32095525099088995,0.95,0.2,acetate,37
fc_mu,3,0.4850405175456168,0.4859515446719146,0.4906551090239707,0.3854887476673936,0.575743436870738,0.95,0.3,acetate,37
fc_mu,4,0.4997365675566879,0.5165102391690835,0.513125632727371,0.341503693199956,0.5851198337155536,0.95,0.4,acetate,37
fc_mu,5,0.20277550442283454,0.1554114649846141,0.1940126544756331,0.09793933311769776,0.3421295764629396,0.95,0.7,acetate,37
fc_mu,6,0.21719889241083634,0.15888105775758155,0.22143674946267144,0.09312479965810805,0.31970662567647323,0.95,1.0,acetate,37
fc_mu,7,0.1590561254283304,0.21081507916249165,0.15294239958270467,0.07410941353184641,0.25245644491853747,0.95,2.0,acetate,37
fc_mu,8,0.08142110443115376,0.08266678661272775,0.07795989528708114,0.022703912589447817,0.14064172630563831,0.95,3.0,acetate,37
fc_mu,9,0.06750406456924284,0.059964196235602674,0.06725853046563768,0.04039317745588844,0.09528296298095107,0.95,4.0,acetate,37
fc_mu,10,0.029916886259852532,0.031134921948045235,0.02978092799335913,0.020839367996271507,0.03925789433502169,0.95,7.0,acetate,37
fc_mu,11,0.03212621639109861,0.030899902039633664,0.03221388132484321,0.02623013978078359,0.037836899688094894,0.95,10.0,acetate,37
fc_sigma,1,0.04668735333795996,0.07246444882274101,0.0315049641489757,0.00012686904203689309,0.13171339783344926,0.95,0.1,acetate,37
fc_sigma,2,0.06448871048546956,0.09437885417192007,0.05028694479967865,0.00146158955406279,0.16649407945821795,0.95,0.2,acetate,37
fc_sigma,3,0.06426235042845815,0.032641206928987934,0.05198439801256183,0.0019811796036579977,0.16580735676340547,0.95,0.3,acetate,37
fc_sigma,4,0.05949655278521165,0.05237961929336243,0.03819013861488723,0.002493984515208595,0.17540975558350735,0.95,0.4,acetate,37
fc_sigma,5,0.06524104982713988,0.06549097567243066,0.049685197053801214,0.004137538141430785,0.17745209810702892,0.95,0.7,acetate,37
fc_sigma,6,0.1747151007127071,0.17438939148984392,0.1718898329921648,0.11487618866334091,0.24107199118024009,0.95,1.0,acetate,37
fc_sigma,7,0.1745450052817487,0.15468334633489325,0.17236956997795483,0.10814466092208624,0.24344211994136206,0.95,2.0,acetate,37
fc_sigma,8,0.08383328739900438,0.060995308087704064,0.07583927513049413,0.03635639361839981,0.14323637126470765,0.95,3.0,acetate,37
fc_sigma,9,0.0432767094787459,0.029701136922882905,0.040760539207080185,0.024850597091159755,0.07057303596653079,0.95,4.0,acetate,37
fc_sigma,10,0.012191095619751593,0.008128519747083807,0.011967789460345744,0.005928668449832579,0.019198140382371276,0.95,7.0,acetate,37
fc_sigma,11,0.007574389409296582,0.006743158585826192,0.006807051603784226,0.004161058105491355,0.012782926109549312,0.95,10.0,acetate,37
rep_mu,1,0.04724187612284273,0.021322344366568213,1.8805880186434365e-09,2.220446049250313e-16,0.3734726642373073,0.95,0.1,acetate,37
rep_mu,2,0.008736367845600793,2.672972954087527e-12,8.19023293630039e-10,2.220446049250313e-16,0.01833759331591056,0.95,0.2,acetate,37
rep_mu,3,0.04106726518343974,3.241451551616592e-11,2.018389899660633e-10,2.220446049250313e-16,0.317042694713665,0.95,0.3,acetate,37
rep_mu,4,0.05719295686871787,0.020753265610349958,1.0393077935433315e-05,2.220446049250313e-16,0.4560801524695389,0.95,0.4,acetate,37
rep_mu,5,0.015454119638391179,1.9984014443252818e-14,4.772954109721894e-08,2.220446049250313e-16,0.0693926034632214,0.95,0.7,acetate,37
rep_mu,6,0.027753154334799267,8.93507490218326e-13,2.3092076301134412e-07,2.220446049250313e-16,0.15686365570463734,0.95,1.0,acetate,37
rep_mu,7,0.012015608978032274,1.199040866595169e-14,9.033344072761906e-10,2.220446049250313e-16,0.021652498261098718,0.95,2.0,acetate,37
rep_mu,8,0.027053525990031756,0.14276039453569178,2.4262174491695987e-09,2.220446049250313e-16,0.17882114103371716,0.95,3.0,acetate,37
rep_mu,9,0.015474460697843848,4.175135164263821e-06,1.4359071709435511e-09,2.220446049250313e-16,0.06184422480920626,0.95,4.0,acetate,37
rep_mu,10,0.07847560937108354,0.2171283841800653,3.450268818283586e-05,2.220446049250313e-16,0.565288436836813,0.95,7.0,acetate,37
rep_mu,11,0.01413503805821619,2.886579864025407e-15,2.1385049286948288e-10,2.220446049250313e-16,0.025647487131631896,0.95,10.0,acetate,37
rep_sigma,1,54.34905913561366,19.014769357248085,41.87350968935193,5.611031579725663,145.32719331060432,0.95,0.1,acetate,37
rep_sigma,2,36.958601318656456,27.27935922970103,22.2622067621169,5.3190051004985595,112.5856010309686,0.95,0.2,acetate,37
rep_sigma,3,34.281139612489675,6.4371570510636404,22.988136148218437,1.6794768821169732,109.1806421441966,0.95,0.3,acetate,37
rep_sigma,4,27.25061885775647,23.72139526247236,17.210205436158525,2.467061409102477,91.88394485868197,0.95,0.4,acetate,37
rep_sigma,5,90.43052791004379,28.76975708889028,81.33223645597997,10.156208396266829,200.19503501592908,0.95,0.7,acetate,37
rep_sigma,6,56.01537064694038,44.53493316128933,52.227461115367774,32.0740979142791,83.02226832872807,0.95,1.0,acetate,37
rep_sigma,7,60.07844675363815,50.66602504084145,57.72510301377669,30.546422774367677,92.15768823369784,0.95,2.0,acetate,37
rep_sigma,8,89.51865422460907,119.7675080598003,84.54367016690185,55.389986371392006,136.75350592453987,0.95,3.0,acetate,37
rep_sigma,9,85.32414012728763,75.92461940849647,78.10106524408428,53.34153730457923,131.01387903646926,0.95,4.0,acetate,37
rep_sigma,10,141.72971415556367,122.69445551776863,143.48234648203783,78.93077843468221,200.74675154696268,0.95,7.0,acetate,37
rep_sigma,11,127.87276753957761,97.01240445588552,118.71297766192635,80.73309150732807,194.120351903317,0.95,10.0,acetate,37
empirical_F,1,-0.7094070104711061,-0.7423112535040681,-0.7004390207468598,-0.9925642297887773,-0.43732385072237284,0.95,0.1,acetate,37
empirical_F,2,-1.3712526889669012,-0.9547509520222169,-1.32900020198561,-2.0423491518446926,-0.5289721856409806,0.95,0.2,acetate,37
empirical_F,3,-0.06050306673711244,-0.056208615469517643,-0.03738391715352126,-0.46631523655436635,0.3053237654148992,0.95,0.3,acetate,37
empirical_F,4,-0.0023297234047432026,0.06606497502086704,0.05251459623642979,-0.6566004190699722,0.3438269476208278,0.95,0.4,acetate,37
empirical_F,5,-1.4105580180631918,-1.6927733554908941,-1.4241446558780357,-2.142506796935987,-0.5880293267706405,0.95,0.7,acetate,37
empirical_F,6,-1.3205135496767435,-1.6665772216491743,-1.2573132414166057,-2.134295262761549,-0.6707340151914785,0.95,1.0,acetate,37
empirical_F,7,-1.7162352570779629,-1.3200193199319679,-1.7117073204849222,-2.475955564565838,-1.051136808339667,0.95,2.0,acetate,37
empirical_F,8,-2.5041118918944534,-2.4066528711737263,-2.470394188783448,-3.44669972276917,-1.7137896969214401,0.95,3.0,acetate,37
