date,operator,carbon,temp,strain,atc_ngml,iptg_um,mean_fitc,fold_change
20180430,O2,glycerol,37,dilution,7.0,0.1,5801.432180995901,-0.14746361553675755
20180430,O2,glycerol,37,dilution,1.0,10.0,30006.165145054576,0.46080839595992723
20180430,O2,glycerol,37,auto,0.0,10.0,6447.994468961294,0.0
20180430,O2,glycerol,37,dilution,7.0,75.0,30280.950579671477,0.4978799352048088
20180430,O2,glycerol,37,dilution,4.0,100.0,34734.80048800282,0.5727021232904402
20180430,O2,glycerol,37,dilution,10.0,500.0,45649.71122111816,0.9888460432005484
20180430,O2,glycerol,37,dilution,10.0,75.0,29879.685013230584,0.48902849708195983
20180430,O2,glycerol,37,dilution,3.0,0.0,5604.399062214675,-0.11772295278017043
20180430,O2,glycerol,37,dilution,3.0,100.0,37022.01030027785,0.6260289173578787
20180430,O2,glycerol,37,dilution,3.0,5.0,8922.214282003213,0.11392305247170363
20180430,O2,glycerol,37,dilution,3.0,0.1,6558.725438273281,-0.1254124899146056
20180430,O2,glycerol,37,dilution,10.0,25.0,14798.646289633325,0.07311699636629368
20180430,O2,glycerol,37,dilution,3.0,10.0,11838.31083920656,0.10543700843503571
20180430,O2,glycerol,37,dilution,7.0,25.0,13517.635200259294,0.0452364380721378
20180430,O2,glycerol,37,dilution,2.0,50.0,33902.3940994872,0.5132065670938907
20180430,O2,glycerol,37,dilution,4.0,0.1,5908.591044396405,-0.14434332688283913
20180430,O2,glycerol,37,dilution,1.0,5000.0,39221.5781348895,0.854788877106387
20180430,O2,glycerol,37,dilution,10.0,250.0,40227.35246091017,0.8173510825940522
20180430,O2,glycerol,37,delta,0.0,10.0,57571.56531236656,1.0
20180430,O2,glycerol,37,dilution,1.0,1000.0,51959.104055082265,0.9684332142533824
20180430,O2,glycerol,37,dilution,7.0,100.0,34234.896324486086,0.561046749026898
20180430,O2,glycerol,37,dilution,2.0,0.0,5759.486005665217,-0.11363776173990003
20180430,O2,glycerol,37,delta,0.0,250.0,46823.6947868849,1.0
