parameter,value,well_id,carbon,strain
max df,0.012905245061954592,18,glucose,geneva_BW
lag time std,2.8096365682255393,18,glucose,geneva_BW
lag time,103.53843335452743,18,glucose,geneva_BW
max y stderr,0.00047088492201752204,18,glucose,geneva_BW
max y std,0.00470884922017522,18,glucose,geneva_BW
max y,0.18848782343096349,18,glucose,geneva_BW
inverse max df stderr,0.07903713195676387,18,glucose,geneva_BW
lag time stderr,0.2809636568225539,18,glucose,geneva_BW
inverse max df,53.722084078163455,18,glucose,geneva_BW
time of max df stderr,0.5430755011966568,18,glucose,geneva_BW
time of max df std,5.430755011966568,18,glucose,geneva_BW
time of max df,283.2966666666667,18,glucose,geneva_BW
max df stderr,1.8915524851174695e-05,18,glucose,geneva_BW
max df std,0.00018915524851174695,18,glucose,geneva_BW
inverse max df std,0.7903713195676387,18,glucose,geneva_BW
max df std,0.0001670175455555013,19,glucose,geneva_BW
max df stderr,1.670175455555013e-05,19,glucose,geneva_BW
time of max df,244.51666666666665,19,glucose,geneva_BW
time of max df std,10.400360570672548,19,glucose,geneva_BW
time of max df stderr,1.0400360570672549,19,glucose,geneva_BW
inverse max df,51.78856490920973,19,glucose,geneva_BW
max y,0.1651081639705653,19,glucose,geneva_BW
inverse max df stderr,0.06470207014781004,19,glucose,geneva_BW
max y std,0.004908407368015359,19,glucose,geneva_BW
max y stderr,0.0004908407368015359,19,glucose,geneva_BW
lag time,76.73481267253146,19,glucose,geneva_BW
max df,0.013386260626832569,19,glucose,geneva_BW
inverse max df std,0.6470207014781004,19,glucose,geneva_BW
lag time std,3.356436670915762,19,glucose,geneva_BW
lag time stderr,0.3356436670915762,19,glucose,geneva_BW
max df,0.012001294150409403,20,glucose,geneva_BW
max df std,0.00011293360543315142,20,glucose,geneva_BW
max df stderr,1.1293360543315142e-05,20,glucose,geneva_BW
time of max df,256.69666666666666,20,glucose,geneva_BW
time of max df std,5.07632741260847,20,glucose,geneva_BW
time of max df stderr,0.507632741260847,20,glucose,geneva_BW
lag time std,2.22851048053515,20,glucose,geneva_BW
inverse max df,57.76113609468484,20,glucose,geneva_BW
inverse max df std,0.5419886029863648,20,glucose,geneva_BW
inverse max df stderr,0.05419886029863648,20,glucose,geneva_BW
max y,0.16125752557190143,20,glucose,geneva_BW
max y std,0.0024864210956566718,20,glucose,geneva_BW
max y stderr,0.0002486421095656672,20,glucose,geneva_BW
lag time,103.54646620221365,20,glucose,geneva_BW
lag time stderr,0.222851048053515,20,glucose,geneva_BW
max df,0.011798831789908362,21,glucose,geneva_BW
inverse max df std,0.5572874080262494,21,glucose,geneva_BW
lag time stderr,0.22394396204648753,21,glucose,geneva_BW
max df std,0.00011232922619765704,21,glucose,geneva_BW
max df stderr,1.1232922619765704e-05,21,glucose,geneva_BW
time of max df,264.4666666666667,21,glucose,geneva_BW
time of max df std,4.8999999999999995,21,glucose,geneva_BW
time of max df stderr,0.48999999999999994,21,glucose,geneva_BW
inverse max df,58.75240770186428,21,glucose,geneva_BW
inverse max df stderr,0.055728740802624945,21,glucose,geneva_BW
max y,0.14909253962351168,21,glucose,geneva_BW
max y std,0.002421953443999864,21,glucose,geneva_BW
max y stderr,0.0002421953443999864,21,glucose,geneva_BW
lag time,101.68399130997184,21,glucose,geneva_BW
lag time std,2.2394396204648754,21,glucose,geneva_BW
max df stderr,1.1018153572762883e-05,22,glucose,geneva_BW
lag time stderr,0.21243107124646254,22,glucose,geneva_BW
lag time std,2.1243107124646254,22,glucose,geneva_BW
lag time,112.40504065833187,22,glucose,geneva_BW
max y stderr,0.00020075137863829307,22,glucose,geneva_BW
max y std,0.002007513786382931,22,glucose,geneva_BW
max y,0.14524215260187193,22,glucose,geneva_BW
inverse max df stderr,0.06120327546037126,22,glucose,geneva_BW
max df,0.011160729305549262,22,glucose,geneva_BW
inverse max df,62.11194550506216,22,glucose,geneva_BW
time of max df stderr,0.5356715411518518,22,glucose,geneva_BW
time of max df std,5.356715411518518,22,glucose,geneva_BW
time of max df,271.32666666666665,22,glucose,geneva_BW
max df std,0.00011018153572762884,22,glucose,geneva_BW
inverse max df std,0.6120327546037126,22,glucose,geneva_BW
