date,carbon,temp_C,operator,colony_idx,area,time_min
20181024,glucose,37,O2,1,737,5
20181024,glucose,37,O2,1,793,10
20181024,glucose,37,O2,1,812,15
20181024,glucose,37,O2,1,847,20
20181024,glucose,37,O2,1,867,25
20181024,glucose,37,O2,1,873,30
20181024,glucose,37,O2,1,859,35
20181024,glucose,37,O2,1,875,40
20181024,glucose,37,O2,1,873,45
20181024,glucose,37,O2,1,926,50
20181024,glucose,37,O2,1,968,55
20181024,glucose,37,O2,1,1007,60
20181024,glucose,37,O2,1,1092,65
20181024,glucose,37,O2,1,1167,70
20181024,glucose,37,O2,1,1230,75
20181024,glucose,37,O2,1,1287,80
20181024,glucose,37,O2,1,1344,85
20181024,glucose,37,O2,1,1386,90
20181024,glucose,37,O2,1,1432,95
20181024,glucose,37,O2,1,1478,100
20181024,glucose,37,O2,1,1532,105
20181024,glucose,37,O2,1,1578,110
20181024,glucose,37,O2,1,1617,115
20181024,glucose,37,O2,1,1675,120
20181024,glucose,37,O2,1,1753,125
20181024,glucose,37,O2,1,1810,130
20181024,glucose,37,O2,1,1910,135
20181024,glucose,37,O2,1,2005,140
20181024,glucose,37,O2,1,2136,145
20181024,glucose,37,O2,1,2239,150
20181024,glucose,37,O2,1,2341,155
20181024,glucose,37,O2,1,2439,160
20181024,glucose,37,O2,1,2527,165
20181024,glucose,37,O2,1,2626,170
20181024,glucose,37,O2,1,2692,175
20181024,glucose,37,O2,1,2765,180
20181024,glucose,37,O2,1,2861,185
20181024,glucose,37,O2,1,2917,190
20181024,glucose,37,O2,1,3015,195
20181024,glucose,37,O2,1,3108,200
20181024,glucose,37,O2,1,3204,205
20181024,glucose,37,O2,1,3298,210
20181024,glucose,37,O2,1,3413,215
20181024,glucose,37,O2,1,3509,220
20181024,glucose,37,O2,1,3651,225
20181024,glucose,37,O2,1,3861,230
20181024,glucose,37,O2,1,3982,235
20181024,glucose,37,O2,1,4176,240
20181024,glucose,37,O2,1,4379,245
20181024,glucose,37,O2,1,4577,250
20181024,glucose,37,O2,1,4782,255
20181024,glucose,37,O2,1,5065,260
20181024,glucose,37,O2,1,5316,265
20181024,glucose,37,O2,1,5603,270
20181024,glucose,37,O2,1,5887,275
20181024,glucose,37,O2,1,6236,280
20181024,glucose,37,O2,1,6571,285
20181024,glucose,37,O2,1,6926,290
20181024,glucose,37,O2,1,7254,295
20181024,glucose,37,O2,1,7664,300
20181024,glucose,37,O2,1,8020,305
20181024,glucose,37,O2,1,8293,310
20181024,glucose,37,O2,1,8563,315
20181024,glucose,37,O2,1,8893,320
20181024,glucose,37,O2,1,9244,325
20181024,glucose,37,O2,1,9623,330
20181024,glucose,37,O2,1,10099,335
20181024,glucose,37,O2,1,10591,340
20181024,glucose,37,O2,1,11056,345
20181024,glucose,37,O2,1,11617,350
20181024,glucose,37,O2,1,12113,355
20181024,glucose,37,O2,1,12682,360
20181024,glucose,37,O2,2,1738,5
20181024,glucose,37,O2,2,1761,10
20181024,glucose,37,O2,2,1849,15
20181024,glucose,37,O2,2,1884,20
20181024,glucose,37,O2,2,1994,25
