parameter,value
max df,0.003280697691886714
max df std,2.6440197542853716e-05
max df stderr,2.6440197542853716e-06
time of max df,925.1266666666667
time of max df std,7.862467805975425
time of max df stderr,0.7862467805975425
inverse max df,211.29414564678808
inverse max df std,1.7033925666825365
inverse max df stderr,0.17033925666825364
max y,0.1302685656452473
max y std,0.0009097349822577688
max y stderr,9.097349822577688e-05
lag time,529.6887833874564
lag time std,3.5785283511009034
lag time stderr,0.35785283511009036
doubling time,211.28041827021238
