,I_1,I_2,summed,fluct
0,41983.158175543125,43313.14521209041,85296.30338763352,1768865.5173838201
1,44111.23538724599,39389.90061352905,83501.13600077503,22291002.045508847
2,12076.685978517295,10743.18813909273,22819.874117610023,1778216.4877499817
3,110389.28823299077,59708.20145044206,170097.48968343282,2568572557.460234
4,68143.38589463093,58122.77203944516,126266.1579340761,100412702.03474107
5,42455.034512872866,49373.01062890824,91828.0451417811,47858393.54203588
6,46718.8211655747,36192.33341958197,82911.15458515668,110806944.2665351
7,35342.88530349059,33590.59377314572,68933.47907663631,3070525.60731836
8,33262.117625397485,39673.6542217059,72935.77184710339,41107801.52580214
9,26168.687255767287,23951.371325984386,50120.05858175167,4916489.932469009
10,53975.77958498904,52547.79090219409,106523.57048718313,2039151.6781904625
11,38552.0285932585,18730.385849012033,57282.414442270536,392897521.08053875
12,33378.210191878934,24993.90828142247,58372.11847330141,70296518.5256839
13,31720.912867351337,38988.610956894845,70709.52382424618,52819435.52075436
14,33884.747516823205,32082.3824213004,65967.1299381236,3248519.9375589266
15,70633.31549596615,65532.32356926452,136165.63906523067,26020118.63627521
16,35318.28454774764,27833.844605266313,63152.12915301395,56016841.25260984
17,26206.690648499618,28828.656806770294,55035.34745526991,6874706.5351166865
18,38160.05956955289,36034.26261992888,74194.32218948177,4519012.6710307505
19,20397.48949812604,19132.902274816795,39530.391772942836,1599180.8453569864
20,14650.918390203202,15171.173676525761,29822.09206672896,270665.56294656807
21,19046.102755087046,10596.994617249975,29643.09737233702,71387428.32486461
22,18114.32894980755,22964.17059637828,41078.499546185834,23520963.996811893
23,8095.7221861365,8895.955058231435,16991.677244367937,640372.6495813092
24,5714.858812720706,3237.7242284726203,8952.583041193326,6136195.748477936
