alpha,log_prob
391.4006027077552,-6489.3012222229945
399.6771105181377,-6489.130875123924
411.7393954037009,-6489.158511533347
405.9437073712342,-6489.106323297287
386.7342315673515,-6489.471030680515
403.31769290863616,-6489.106084458496
376.32180078078596,-6490.0573879604135
400.96621518680143,-6489.118703929121
418.9754275359554,-6489.318516373486
424.2039691006109,-6489.495905316569
420.3431199380395,-6489.360051546874
425.6874933079703,-6489.555257617099
390.28610500467363,-6489.3367911077175
389.65264175709797,-6489.358389335726
362.2721520924953,-6491.350467504949
376.09819696457805,-6490.073288799093
359.1841707761382,-6491.719614946856
360.36682599230903,-6491.574415520222
369.3442761857347,-6490.623142403534
444.28626737712955,-6490.611632146562
431.588251295965,-6489.829239505922
398.2590210137378,-6489.148633672274
393.4104923833526,-6489.244813812847
424.0715482131443,-6489.490798150912
391.56559499881547,-6489.296218231735
404.55981800754165,-6489.104334915299
397.1825582308417,-6489.1652089699355
352.6943525149927,-6492.603738851408
365.7615697702798,-6490.971523231366
380.62201878582977,-6489.779220496514
388.33970077580113,-6489.406375829774
388.33970077580113,-6489.406375829774
393.89760503046125,-6489.232623324195
395.57117280287986,-6489.195081279113
388.51417789396754,-6489.399747022561
382.3943025312182,-6489.67953768897
375.0804006730726,-6490.147494641012
375.0804006730726,-6490.147494641012
380.79591244989086,-6489.769059264244
381.34081255245883,-6489.737756906935
418.50249715859485,-6489.304971171038
399.82319035300844,-6489.129306836185
401.7742235385842,-6489.112981373861
405.95298961815064,-6489.106350524786
400.93919843312466,-6489.118920544012
414.70787884393303,-6489.211770910127
414.70787884393303,-6489.211770910127
395.3073147929632,-6489.200556544199
413.48623296780784,-6489.187729714392
407.24378821500517,-6489.1119235742235
403.5243626242011,-6489.105559643519
395.16172834385907,-6489.203648384425
435.1097851165913,-6490.020627562819
400.4077208304485,-6489.123515872602
389.1938656162045,-6489.374661326568
405.74781215748277,-6489.105791685564
411.6667791268144,-6489.157429670111
403.41172017684625,-6489.105834075274
404.98987987025646,-6489.104510811784
405.4142582983173,-6489.105075792177
408.1966821073528,-6489.118297354884
416.1153241804181,-6489.243097512934
367.5059271312409,-6490.796845645093
378.32791290226305,-6489.921132405402
409.3580521767536,-6489.128631952466
407.3723339321992,-6489.112671924963
403.68124385196455,-6489.105223731703
404.86628037988856,-6489.104419298209
406.77233172668133,-6489.109477880901
401.0202416217513,-6489.118275673591
402.3633370258961,-6489.109726873402
402.3633370258961,-6489.109726873402
402.20964528266273,-6489.110501612899
408.3655833165702,-6489.119625786426
409.6136310039673,-6489.131281825559
380.42928012313075,-6489.790580296392
404.5500324698489,-6489.10433557223
395.85732335692535,-6489.1893299372205
389.98475148029667,-6489.346940442481
419.46061867128265,-6489.332850355598
378.56049575854496,-6489.906074351909
402.99684312992275,-6489.107085027377
378.88555581492085,-6489.885284105107
362.1596901488017,-6491.363347703103
401.6761972502415,-6489.113597843427
443.4992270042226,-6490.555908733602
378.1770431680057,-6489.930981717841
417.3718426436719,-6489.274306475904
408.78502803662025,-6489.12318223701
380.67570853561165,-6489.776074324519
382.78227349876715,-6489.658855782322
402.2460565076315,-6489.11031333396
419.22783104537103,-6489.325917937983
405.37413650672454,-6489.105005780366
408.73415624473324,-6489.122731370566
392.244591636367,-6489.276330931811
387.93299293870865,-6489.422129095936
380.8363754432472,-6489.76670680295
380.7711775170046,-6489.770499536627
385.33710543467674,-6489.532724711254
408.4113958281237,-6489.1199963830795
422.9502806450352,-6489.448817174982
417.0017010034134,-6489.264797658517
417.0017010034134,-6489.264797658517
416.23390331919546,-6489.245912710143
400.32032559902956,-6489.1243325191335
405.78916770922916,-6489.105897072522
438.0058764505994,-6490.19303638774
390.05191012742415,-6489.3446589061
417.17960128080256,-6489.269335097297
423.7284359565251,-6489.477711419658
408.4389573048308,-6489.120221450173
429.15743752878564,-6489.7091508617295
399.1432217267834,-6489.137020400538
410.1401026513065,-6489.1371646395755
430.7003096537633,-6489.784218570377
356.7674188953029,-6492.03136839654
370.0253451282545,-6490.561455305083
418.6933873194363,-6489.31038764925
427.74350317888957,-6489.643922593046
432.65911794256334,-6489.885282878861
436.2876275352869,-6490.089136034066
449.405090119534,-6490.9960815011655
447.43481532135024,-6490.843639071438
413.9458094001955,-6489.196427972587
382.6443277646825,-6489.66616279737
401.72468702049616,-6489.113290222266
395.6822031409846,-6489.192826666399
416.47246474754184,-6489.251658758533
398.3986992954173,-6489.146679525266
383.6572466850553,-6489.613700070543
407.67337452452574,-6489.11456076222
418.0991013247961,-6489.293751759084
399.77604135338265,-6489.129807717273
399.77604135338265,-6489.129807717273
397.2184140237844,-6489.164613510113
394.2489343075727,-6489.224186110893
385.9211166076975,-6489.506316425831
397.9989781782202,-6489.152391742459
408.92154894370236,-6489.124418789209
397.6599969973947,-6489.157525570696
428.87682862085535,-6489.695932836256
441.85506387987795,-6490.44248300236
395.44325346992554,-6489.197715072071
422.081291010795,-6489.417847101248
422.98527220543474,-6489.450092976686
388.07953741998966,-6489.416404204242
403.69382202433417,-6489.105199131273
390.2605321219081,-6489.3376435585515
378.04302840548667,-6489.939784618592
360.73191834275724,-6491.530554990997
398.3210805455975,-6489.147759883923
406.2317560845772,-6489.107254007099
409.24138819456107,-6489.12746724984
409.24138819456107,-6489.12746724984
403.3507832689899,-6489.105994131019
405.7678553369393,-6489.105842304329
410.6250520276333,-6489.143086848392
397.8719677604784,-6489.154284107073
431.4377189990317,-6489.821514284041
383.22072946410736,-6489.635971028067
383.22072946410736,-6489.635971028067
370.2159455267128,-6490.544447618652
443.7956224545408,-6490.5767860308615
435.8311267711303,-6490.062320124984
437.6231489262962,-6490.169489868598
431.68652793314754,-6489.834303388317
427.49653072284093,-6489.632882636035
427.49069811258363,-6489.632623189007
431.1950228192733,-6489.809138967519
381.8069482405424,-6489.711624144052
376.9315762008753,-6490.014756652858
361.2035095801817,-6491.474568096775
365.24275624178205,-6491.025354712067
417.2010005175238,-6489.269884983615
420.0404998655743,-6489.350560286546
426.95029897527536,-6489.608841462375
401.4160202774611,-6489.115338050969
407.5803988851965,-6489.113957036605
409.799392137409,-6489.133292399563
425.7320579000772,-6489.5571009007335
401.33563090293586,-6489.115906336046
394.39327703764246,-6489.220805684114
396.93628574740194,-6489.169379924065
397.01104966507046,-6489.168098721794
389.35764474893114,-6489.368791452414
385.452768506469,-6489.527423575409
417.1811486478626,-6489.269374829843
407.52817131897706,-6489.11362588206
401.73066715710723,-6489.11325264721
416.25005962934085,-6489.246298383759
