strain,area_pix,mean_yfp,mean_mCherry,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val,alpha_mode,alpha_mean,alpha_median,alpha_hpd_min,alpha_hpd_max,fold_change
delta,394.0,421.20304568527916,189.9720812182741,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,0.345458158123954
delta,603.0,628.4444444444445,191.06467661691542,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,0.624769370543953
delta,673.0,1024.1634472511143,194.43239227340268,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,1.158102744634953
delta,653.0,634.7013782542114,193.48238897396632,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,0.6332022019130782
delta,338.0,1372.198224852071,194.61242603550295,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,1.62716933209326
delta,383.0,1374.6422976501306,213.13315926892952,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,1.630463350279569
delta,662.0,581.3187311178248,197.85800604229607,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,0.561255322654748
delta,457.0,873.730853391685,198.24070021881838,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,0.9553560423354235
delta,861.0,743.5249709639953,197.12543554006967,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,0.7798700482104901
delta,820.0,1658.4780487804878,206.00487804878048,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,2.013005198824466
delta,466.0,1007.6437768240344,196.24034334763948,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,1.1358382299028913
delta,545.0,857.6642201834862,186.98715596330274,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,0.9337021120504594
delta,735.0,810.7714285714286,189.03673469387755,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,0.8705019862196983
delta,790.0,1887.246835443038,196.77088607594936,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,2.321330116283763
delta,513.0,682.3918128654971,198.40350877192984,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,0.6974773573205874
delta,760.0,1144.2776315789474,201.42236842105262,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,1.319987573893579
delta,737.0,1250.0434192673,195.50610583446405,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,1.4625342396112724
delta,745.0,1073.655033557047,198.8255033557047,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,1.224805416294506
delta,508.0,884.0708661417323,190.81692913385828,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,0.9692918752092897
delta,542.0,604.4852398523985,204.08856088560884,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,0.5924781655854302
delta,559.0,839.3363148479427,199.31842576028623,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,0.9090005346096577
delta,589.0,781.471986417657,202.2937181663837,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,0.831013434413938
delta,658.0,1173.4726443768998,201.52279635258358,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,1.3593353802201025
delta,719.0,1027.269819193324,201.13908205841446,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,1.1622893816611504
delta,662.0,602.226586102719,204.8595166163142,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,0.5894340473685237
delta,788.0,2154.318527918782,195.40862944162436,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,2.6812780739558164
delta,610.0,635.7885245901639,199.76065573770492,0.0,20181016,glycerol,37,O2,1,164.53853755013066,194.6083367931457,1100.5857002152088,1100.5857002152088,1102.348604222169,958.8667123785353,1261.8721041151014,0.6346674118710834
