strain,area_pix,mean_yfp,mean_mCherry,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val,alpha_mode,alpha_hpd_min,alpha_hpd_max,fold_change
delta,461.0,1202.9652928416485,186.60520607375273,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,1.251404396103242
delta,808.0,1106.1361386138615,189.65594059405942,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,1.1340186577784923
delta,548.0,1282.2846715328467,186.71167883211677,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,1.3475630779112335
delta,520.0,1374.8673076923078,178.15384615384616,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,1.459800773141574
delta,446.0,1200.1143497757848,185.22645739910314,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,1.2479482050482116
delta,565.0,821.9610619469026,183.08141592920353,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,0.7895139323776117
delta,536.0,1035.7238805970148,189.18283582089552,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,1.0486580557951652
delta,446.0,1089.804932735426,192.83856502242153,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,1.1142203782720552
delta,519.0,1167.8381502890174,194.89788053949903,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,1.2088198501917997
delta,524.0,1173.921755725191,187.69656488549617,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,1.2161949896474404
delta,541.0,870.9722735674676,194.11460258780036,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8489301000406725
delta,382.0,1118.0549738219895,193.86649214659687,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,1.1484678315013754
delta,425.0,1206.6117647058823,194.55058823529413,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,1.2558250047048265
delta,684.0,936.0409356725146,187.71052631578948,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,0.9278126742397218
delta,419.0,1090.3914081145585,193.66825775656324,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,1.114931360888167
delta,523.0,1116.9101338432122,192.1567877629063,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,1.1470799448958977
delta,924.0,176.10281385281385,231.4090909090909,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,0.00654161468801401
delta,490.0,1471.3551020408163,180.85510204081632,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,1.5767726817496115
delta,618.0,1174.5533980582525,190.1893203883495,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,1.2169607280473564
delta,459.0,929.9150326797386,185.29193899782135,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,0.9203862575633852
delta,511.0,1245.6262230919765,189.62622309197653,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,1.3031221337515
delta,541.0,974.554528650647,179.70055452865066,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,0.9745026054214153
delta,488.0,1149.4897540983607,190.8627049180328,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,1.186576135981011
delta,738.0,976.329268292683,184.0189701897019,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,0.9766541177926223
delta,501.0,889.9860279441118,187.49301397205588,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8719804262944499
delta,377.0,990.445623342175,185.9761273209549,0.0,20181021,glucose,37,O2,1,156.05047309778033,185.89992919080768,2069.6958597101147,1574.7979194073594,2667.856879392745,0.9937673392511178
delta,859.0,1133.827706635623,186.58789289871945,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,1.1671139733522329
delta,403.0,649.3548387096774,178.985111662531,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.5797887431223897
delta,656.0,807.7469512195122,189.5060975609756,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.7718070997843148
delta,530.0,852.6264150943397,192.90188679245284,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8262143601242355
delta,599.0,876.1469115191986,182.21035058430718,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.854728198343886
delta,438.0,723.0502283105022,194.87214611872147,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.6691294772061784
delta,564.0,753.1063829787234,184.61524822695034,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.7055664773542139
delta,479.0,898.874739039666,191.28183716075156,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8822810860592061
delta,541.0,1105.2236598890943,194.1792975970425,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,1.1324373599583162
delta,562.0,1041.1085409252669,194.25622775800713,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,1.0547107636932809
