I_1,I_2,area_1,area_2,bg_val,fractional_birth_area,date,run_no,temp,carbon,operator
101.57107843137256,101.656,408.0,500.0,101.58340394679692,0.47869674185463656,20181026,1,37,acetate,O2
101.61748633879782,101.57879656160459,366.0,349.0,101.58340394679692,0.5064562410329986,20181026,1,37,acetate,O2
101.67614879649891,101.51716247139588,457.0,437.0,101.58340394679692,0.5121951219512195,20181026,1,37,acetate,O2
101.62264150943396,101.62698412698413,318.0,378.0,101.58340394679692,0.4646017699115044,20181026,1,37,acetate,O2
101.60725075528701,101.54366197183099,331.0,355.0,101.58340394679692,0.48619631901840493,20181026,1,37,acetate,O2
101.54674220963173,101.52673796791444,353.0,374.0,101.58340394679692,0.482962962962963,20181026,1,37,acetate,O2
101.65789473684211,101.65707964601769,418.0,452.0,101.58340394679692,0.4766917293233083,20181026,1,37,acetate,O2
101.58011049723757,101.6875,362.0,400.0,101.58340394679692,0.46932515337423314,20181026,1,37,acetate,O2
101.66666666666667,101.73652694610779,285.0,334.0,101.58340394679692,0.46677740863787376,20181026,1,37,acetate,O2
101.55504587155963,101.55291005291005,436.0,378.0,101.58340394679692,0.530638852672751,20181026,1,37,acetate,O2
101.6475155279503,101.52125693160814,644.0,541.0,101.58340394679692,0.49616858237547895,20181026,1,37,acetate,O2
101.7201646090535,101.66193853427896,486.0,423.0,101.58340394679692,0.4749262536873156,20181026,1,37,acetate,O2
101.72085889570552,101.57575757575758,326.0,297.0,101.58340394679692,0.5194805194805194,20181026,1,37,acetate,O2
101.6116504854369,101.55452436194895,412.0,431.0,101.58340394679692,0.487012987012987,20181026,1,37,acetate,O2
101.56692913385827,101.63829787234043,254.0,376.0,101.58340394679692,0.4751552795031056,20181026,1,37,acetate,O2
101.58494623655913,101.622009569378,465.0,418.0,101.58340394679692,0.5314917127071823,20181026,1,37,acetate,O2
101.53793103448275,101.58798283261802,435.0,466.0,101.58340394679692,0.495,20181026,1,37,acetate,O2
101.65310492505353,101.65882352941176,467.0,510.0,101.58340394679692,0.49117647058823527,20181026,1,37,acetate,O2
101.67486338797814,101.63636363636364,366.0,385.0,101.58340394679692,0.45161290322580644,20181026,1,37,acetate,O2
101.55106382978724,101.65784114052953,470.0,491.0,101.58340394679692,0.4572538860103627,20181026,1,37,acetate,O2
101.65432098765432,101.72832369942196,405.0,346.0,101.58340394679692,0.5511945392491467,20181026,1,37,acetate,O2
101.70833333333333,101.52577319587628,336.0,291.0,101.58340394679692,0.5477855477855478,20181026,1,37,acetate,O2
101.55357142857143,101.63990267639903,336.0,411.0,101.58340394679692,0.4520766773162939,20181026,1,37,acetate,O2
101.61490683229813,101.8314606741573,322.0,445.0,101.58340394679692,0.457089552238806,20181026,1,37,acetate,O2
101.63661202185793,101.65846153846154,366.0,325.0,101.58340394679692,0.5310924369747899,20181026,1,37,acetate,O2
101.6657824933687,101.65066666666667,377.0,375.0,101.58340394679692,0.41168289290681503,20181026,1,37,acetate,O2
101.52417302798982,101.61146496815287,393.0,471.0,101.58340394679692,0.46814814814814815,20181026,1,37,acetate,O2
101.60483870967742,101.51296829971182,372.0,347.0,101.58340394679692,0.5144230769230769,20181026,1,37,acetate,O2
101.60260586319218,101.56478405315615,307.0,301.0,101.58340394679692,0.489010989010989,20181026,1,37,acetate,O2
101.59831460674157,101.62637362637362,356.0,364.0,101.58340394679692,0.4897959183673469,20181026,1,37,acetate,O2
101.60240963855422,101.6594427244582,332.0,323.0,101.58340394679692,0.507177033492823,20181026,1,37,acetate,O2
101.61980830670926,101.55873925501433,313.0,349.0,101.58340394679692,0.49444444444444446,20181026,1,37,acetate,O2
101.5807453416149,101.5126582278481,322.0,316.0,101.58340394679692,0.5106382978723404,20181026,1,37,acetate,O2
101.61656441717791,101.56555269922879,326.0,389.0,101.58340394679692,0.45984251968503936,20181026,1,37,acetate,O2
101.53900709219859,101.76875,282.0,320.0,101.58340394679692,0.4633663366336634,20181026,1,37,acetate,O2
101.69083969465649,101.6145251396648,262.0,358.0,101.58340394679692,0.40716612377850164,20181026,1,37,acetate,O2
101.61515151515151,101.59477124183006,330.0,306.0,101.58340394679692,0.5269565217391304,20181026,1,37,acetate,O2
101.55483870967743,101.59893048128342,310.0,374.0,101.58340394679692,0.4622467771639042,20181026,1,37,acetate,O2
101.56326530612245,101.68442622950819,245.0,244.0,101.58340394679692,0.4875,20181026,1,37,acetate,O2
101.50347222222223,101.50167224080268,288.0,299.0,101.58340394679692,0.4955595026642984,20181026,1,37,acetate,O2
101.52089136490251,101.56741573033707,359.0,356.0,101.51668301085297,0.5,20181026,1,37,acetate,O2
101.63241106719367,101.53305785123968,506.0,484.0,101.51668301085297,0.5021459227467812,20181026,1,37,acetate,O2
101.51951951951952,101.64035087719299,333.0,342.0,101.51668301085297,0.4970588235294118,20181026,1,37,acetate,O2
101.53982300884955,101.6654411764706,339.0,272.0,101.51668301085297,0.4959839357429719,20181026,1,37,acetate,O2
101.50171821305842,101.56164383561644,291.0,365.0,101.51668301085297,0.43238434163701067,20181026,1,37,acetate,O2
101.6,101.72835820895523,375.0,335.0,101.51668301085297,0.5299837925445705,20181026,1,37,acetate,O2
101.58536585365853,101.6304347826087,492.0,460.0,101.51668301085297,0.5214723926380368,20181026,1,37,acetate,O2
101.68709677419355,101.63896848137536,310.0,349.0,101.51668301085297,0.49559082892416223,20181026,1,37,acetate,O2
