strain,area_pix,mean_yfp,mean_mCherry,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val,alpha_mode,alpha_mean,alpha_median,alpha_hpd_min,alpha_hpd_max,fold_change
delta,872.0,681.1926605504588,188.6571100917431,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.5555276985206755
delta,571.0,1254.3047285464097,196.05779334500875,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.1795654492576055
delta,565.0,993.0849557522124,184.75398230088496,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.8951341685963606
delta,761.0,839.7043363994744,189.79763469119578,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.7281244299213131
delta,584.0,957.818493150685,191.45034246575344,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.8567339930857296
delta,444.0,1262.0788288288288,197.17792792792793,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.1880303417719233
delta,442.0,1431.8529411764705,196.36877828054298,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.3728902690340548
delta,804.0,1126.789800995025,193.87686567164178,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.0407197801150898
delta,647.0,853.6429675425038,197.70633693972178,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.7433016221540009
delta,720.0,898.1555555555556,190.74444444444444,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.7917695167496888
delta,450.0,1485.2466666666667,201.7422222222222,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.4310284626248457
delta,700.0,1208.7485714285715,200.80285714285714,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.1299612559286407
delta,517.0,1377.5551257253385,199.6247582205029,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.3137676497136521
delta,430.0,1253.0,198.97441860465116,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.1781447849357551
delta,492.0,1084.0772357723577,199.95934959349594,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.9942118550194592
delta,742.0,1616.0390835579515,195.86522911051213,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.5734428527731628
delta,937.0,768.6872998932764,202.6905016008538,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.6507969503582003
delta,676.0,997.8195266272189,204.2869822485207,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.9002894447186643
delta,812.0,864.0036945812808,203.43349753694582,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.7545829843139116
delta,696.0,1184.1652298850574,200.2212643678161,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.1031934839358852
delta,334.0,161.88323353293413,367.84730538922156,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,-0.009926607660135162
delta,783.0,1271.8403575989782,206.07535121328226,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.198659262008726
delta,542.0,979.4833948339483,199.75461254612546,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.8803239980277575
delta,814.0,858.3771498771499,195.33046683046683,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.7484564752109636
delta,418.0,970.1937799043062,198.35406698564594,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.8702089250261068
delta,419.0,859.4582338902148,198.13365155131265,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.7496336223581693
delta,548.0,1434.2390510948906,208.4014598540146,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.3754884042848248
delta,427.0,1022.6604215456674,209.2903981264637,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.9273376558048609
delta,396.0,964.4040404040404,205.6818181818182,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.8639047199380294
delta,552.0,995.5344202898551,192.95108695652175,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.8978012880411239
delta,830.0,878.7168674698795,199.13012048192772,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.7706035426450435
delta,638.0,1187.9890282131662,186.9780564263323,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.1073570579403353
delta,732.0,949.8551912568306,198.5724043715847,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.8480630868532769
delta,592.0,1220.6469594594594,201.33952702702703,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.1429169128041874
delta,587.0,1173.8262350936968,194.57069846678024,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.0919357851108675
delta,634.0,1308.44952681388,194.4211356466877,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.2385214545692504
