strain,area_pix,mean_yfp,mean_mCherry,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val,alpha_mode,alpha_mean,alpha_median,alpha_hpd_min,alpha_hpd_max,fold_change
delta,691.0,1706.3762662807526,247.65846599131694,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,0.9065208785249588
delta,375.0,1829.52,251.448,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,0.985495784072339
delta,321.0,1693.1682242990655,254.21806853582555,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,0.8980502577595716
delta,385.0,1759.5662337662338,254.74025974025975,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,0.9406328266636365
delta,656.0,1465.3597560975609,245.77439024390245,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,0.7519514534133854
delta,446.0,2290.358744394619,252.2645739910314,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.2810422581959326
delta,479.0,1874.2839248434238,254.40501043841337,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.0142039174841397
delta,471.0,2025.963906581741,259.1125265392781,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.1114797744800171
delta,502.0,2891.569721115538,255.0378486055777,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.666612669832408
delta,487.0,2083.3100616016427,256.741273100616,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.1482571811690778
delta,435.0,1776.0206896551724,256.7701149425287,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,0.9511854472510968
delta,540.0,1901.1759259259259,259.35185185185185,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.0314503755971658
delta,388.0,2285.9329896907216,258.55670103092785,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.2782039200267081
delta,387.0,1854.8294573643411,258.3979328165375,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.0017273205414323
delta,471.0,1689.0976645435244,255.17622080679405,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,0.8954397142710029
delta,593.0,1884.5497470489038,257.2259696458685,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.020787625112271
delta,516.0,2242.4011627906975,250.93992248062017,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.2502859593323188
delta,366.0,2078.155737704918,253.4207650273224,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.1449515948382907
delta,412.0,2111.2087378640776,252.19660194174756,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.1661492432024247
delta,600.0,2417.61,250.085,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.3626514118954014
delta,492.0,1703.7073170731708,251.83739837398375,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,0.9048092200815006
delta,510.0,2092.845098039216,246.48823529411766,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.1543722190951244
delta,404.0,1763.2574257425742,247.5049504950495,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,0.9430000728797805
delta,412.0,1870.9004854368932,246.58252427184465,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.012034040061345
delta,413.0,1899.7191283292977,243.88861985472155,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.0305160978298726
delta,585.0,2611.188034188034,243.22564102564104,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.4867974524962315
delta,405.0,2305.4296296296297,241.8469135802469,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.2907075631367748
delta,352.0,1865.877840909091,243.7130681818182,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.0088129027350592
delta,631.0,2850.7591125198096,251.3201267828843,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.6404398889540335
delta,470.0,1934.5489361702128,253.7340425531915,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.0528532537808273
delta,554.0,1528.6425992779784,252.26714801444044,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,0.7925361946096969
delta,650.0,1927.7107692307693,254.82461538461538,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.0484677802220104
delta,460.0,1455.1521739130435,258.1630434782609,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,0.745405096448708
delta,648.0,2908.3441358024693,257.14351851851853,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.677370487347778
delta,350.0,301.3857142857143,262.0914285714286,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,0.005468159173907896
delta,518.0,1835.38416988417,261.32625482625485,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,0.9892566109429288
delta,521.0,2061.8157389635317,260.468330134357,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.1344723782491026
delta,657.0,2175.2526636225266,254.11263318112634,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.2072220841411951
delta,525.0,2252.102857142857,254.45714285714286,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.2565078788078006
delta,668.0,2257.4760479041915,259.07784431137725,0.0,20190306,acetate,37,O2,1,,,362.05386028599094,362.05386028599094,368.17278035541517,221.27845094002623,580.6650315360092,1.2599538294871255
