alpha,log_prob
2545.3805136698625,-2613.0290868015204
2555.934247183147,-2613.068640852261
2241.1565746605406,-2613.043995848244
2365.300000684932,-2612.7395188876458
2403.044435532749,-2612.7347846431703
2265.782876313297,-2612.9456024213982
2603.1298135620405,-2613.272422731469
2603.1298135620405,-2613.272422731469
2266.3967436854905,-2612.9434033825974
2239.328150376523,-2613.0521052829026
2381.0629218778136,-2612.7329377936335
2865.5172401020395,-2615.0876339155525
2941.4063508771005,-2615.789692628919
2648.427754695306,-2613.5071944250267
2356.2247425571913,-2612.746380609074
2841.080092679759,-2614.876457999899
2239.435442112961,-2613.051626306688
2417.5026645708735,-2612.742803307257
2458.0926327007332,-2612.7929919036897
2609.62782493204,-2613.3038090002697
2292.389082020249,-2612.8612912908047
2609.9514576362626,-2613.305392663013
2520.558080758679,-2612.945106684724
2321.996807962021,-2612.7931335872636
2321.996807962021,-2612.7931335872636
2410.5326769874,-2612.738274422331
2367.374338055349,-2612.738268141263
2339.0415584371594,-2612.7656670290266
2466.836970556043,-2612.8089665420653
2402.0479228071076,-2612.734428587465
2477.2475348596427,-2612.8302956915177
2677.4011688262813,-2613.676244807374
2624.9059468383884,-2613.3806657280893
2617.398968243822,-2613.3423690006575
2525.81995613535,-2612.9618309334755
2525.81995613535,-2612.9618309334755
2483.964835951995,-2612.845372810321
2345.0007720991866,-2612.758034864617
2270.6565952058772,-2612.928477696324
2273.613702895863,-2612.9184586518268
2275.9912396228783,-2612.9106054740623
2377.170332332399,-2612.7339403022506
2334.385635767878,-2612.772335664708
2475.96784595779,-2612.8275397727216
2457.0161631123615,-2612.7911491789946
2338.1192191025493,-2612.7669387339215
2290.27894352595,-2612.8671667952135
2290.27894352595,-2612.8671667952135
2290.27894352595,-2612.8671667952135
2310.971097358886,-2612.8154348317416
2424.517091497776,-2612.7485931811357
2228.241616446387,-2613.1037073749135
2383.265053305908,-2612.7325497416127
2448.077530889569,-2612.7769070388777
2223.5788918672038,-2613.126669282178
2040.0617715680771,-2614.6966047647534
2255.3816260822337,-2612.984723019052
2258.5687956545057,-2612.972360593781
2278.181741423367,-2612.9035289434255
2415.040288583562,-2612.741063196366
2614.8206197012664,-2613.329452445992
2499.9127853383898,-2612.88522638657
2402.787247629465,-2612.734690302487
2577.0856377037635,-2613.154622390816
2235.354178400155,-2613.0701205847963
2468.059099157846,-2612.8113410200663
2490.4111967537706,-2612.86079930825
2484.0773226241427,-2612.8456339871345
2589.440607946829,-2613.208892446389
2450.4893621466817,-2612.780562851992
2366.785183752055,-2612.7386114310953
2699.5988039734493,-2613.815241532134
2479.0527099931282,-2612.8342467791085
2329.5778699032708,-2612.779876956914
2174.4821097174927,-2613.4154278118044
2557.484092005006,-2613.0746390781383
2484.820188369484,-2612.847365972533
2316.9766260253887,-2612.8028406117364
2353.255333120834,-2612.7491207849584
2595.0723187295184,-2613.2346000654843
2638.76695423523,-2613.454041711463
2710.9281790167997,-2613.889252996817
2532.1768002420786,-2612.9828143214477
2510.194016303283,-2612.9138936973854
2332.7846182578933,-2612.774772779723
2481.4091507865305,-2612.839515933447
2364.610368123616,-2612.7399607681477
2316.602073411997,-2612.8035947173876
2241.637652153386,-2613.0418808927284
2240.108410755745,-2613.0486308763225
2255.090408874426,-2612.9858692171774
2543.650400958897,-2613.022818944881
2619.7674205714893,-2613.3543410558705
2793.12771727278,-2614.4848005470935
2733.279307422176,-2614.0411768509744
2888.361316931681,-2615.2917805977445
2823.7779076826646,-2614.731594078852
2141.6075590913833,-2613.659196382493
2094.065629520863,-2614.08883555442
2605.549118958321,-2613.284016583142
2605.549118958321,-2613.284016583142
2605.549118958321,-2613.284016583142
2247.5289340662875,-2613.016610764435
2464.7218766415303,-2612.8049390149
2256.8537373526988,-2612.978971591212
2389.5310856653155,-2612.732148838643
2923.564003120476,-2615.6185968622935
2673.9584319132587,-2613.6554141916445
2651.327177907407,-2613.5234646822973
2327.1586187199464,-2612.78392513212
2299.916797013712,-2612.8414480062042
2590.875973290521,-2613.215387340043
2529.71165805641,-2612.974576418529
2497.4609647212183,-2612.8787318405657
2142.115151728552,-2613.6551104240334
2527.1487477328296,-2612.966146944598
2120.0859773428556,-2613.8420317857103
2514.2407551298365,-2612.925806627071
2466.9017571620498,-2612.8090915472553
2542.8970979350547,-2613.0201090558653
2617.635804782135,-2613.343561558396
2519.9828205668327,-2612.9433139300454
2052.7057837172024,-2614.5422755709155
2451.3506957963396,-2612.7819020435313
2280.1704605313357,-2612.8972357456205
2257.2669603535514,-2612.9773699405023
2298.1126548222087,-2612.846045490685
1993.6479106979434,-2615.330106828399
1985.0060176995999,-2615.460174197739
1985.3286253069034,-2615.455248057891
2320.7664871955935,-2612.795443765559
2426.239412439096,-2612.7502022290128
2402.9561722638064,-2612.734752074993
2423.362690805103,-2612.747555930257
2550.2220870307856,-2613.0469517962583
2418.5528980610657,-2612.743591859162
2680.4402182431654,-2613.694796724765
2600.9986622466567,-2613.26230032557
2780.8939909833625,-2614.389912312349
2343.655530326656,-2612.7596695945167
2343.315229855021,-2612.7600912540365
2352.0600576538322,-2612.750293189973
2432.1687593944434,-2612.756302183162
2170.579312932824,-2613.4421870193955
2185.403367237808,-2613.3435908952733
2440.88633225671,-2612.7668343323226
2387.3156739421343,-2612.7321720495456
2412.2326492904986,-2612.739265730871
2453.5344110952783,-2612.78537626634
2466.4471238912733,-2612.808216392088
2328.1307522567745,-2612.7822779825797
2460.57719096643,-2612.797349007898
2332.680676997487,-2612.7749335583912
2522.3825323916817,-2612.950839005976
2677.7608150104024,-2613.678432272475
2543.08808067287,-2613.020794983861
2445.887267940372,-2612.773707547062
2266.6580373136753,-2612.942471048104
2286.892672463977,-2612.8768842349
2523.368990733358,-2612.953967833754
2293.494465304834,-2612.858268363682
2341.3448588202677,-2612.7625973508343
2685.6506966920565,-2613.726959546111
2466.5415331733975,-2612.808397732551
2495.165986188767,-2612.8727730124115
2495.165986188767,-2612.8727730124115
2343.3424816790784,-2612.76005736584
2213.6265305519523,-2613.178211496721
2691.0654489562376,-2613.760855622054
2692.0216593113055,-2613.7668911655815
2856.927882017645,-2615.012545510485
2702.0330242853543,-2613.830970822119
2800.790955568971,-2614.545302312636
2848.2822028490486,-2614.9379056126536
2811.5792450859317,-2614.6318434788327
2444.5329326051556,-2612.7717867213914
2259.961379960607,-2612.9670633892783
2101.2825483531633,-2614.0174907704604
2273.600040561123,-2612.918504299502
2224.5092268935455,-2613.1220277328844
2324.0428597187297,-2612.789390191451
2194.801630347364,-2613.285312452307
2128.0377458913526,-2613.772276511452
2183.6208013575333,-2613.35501212999
2456.822685851339,-2612.790820873806
2343.298891275419,-2612.760111581496
2491.5122318281665,-2612.863527200178
2513.9233095544737,-2612.9248593656043
2246.1788038130658,-2613.0222994874593
2311.249090999437,-2612.814828097221
2247.0658806270567,-2613.0185549739394
2118.775822503926,-2613.85377574742
2218.6740438737816,-2613.151637800973
2129.1741930044,-2613.762519510939
2241.24317772497,-2613.0436145411554
2344.8347209349618,-2612.7582338765656
2354.1500426223424,-2612.7482692953135
2315.7370244257936,-2612.8053522712858
2400.4238157548994,-2612.733903134895
2164.3715975281043,-2613.4859441112644
2392.7090200252733,-2612.7323407717404
2457.8964965292535,-2612.7926541212223
2324.9983739261506,-2612.7876840468825
2470.823703657681,-2612.8168398410917
2470.823703657681,-2612.8168398410917
2329.1694424178786,-2612.7805484473083
2550.9702785110753,-2613.0497551048206
2223.061287561932,-2613.1292646693155
2223.061287561932,-2613.1292646693155
2193.43853432389,-2613.293564119949
2406.2796530990977,-2612.736116443323
2000.732795932918,-2615.2263787881434
1953.2211973802935,-2615.9730588121665
2409.7493487260804,-2612.7378423389137
2284.6579265436376,-2612.8834928471388
2350.8196595006975,-2612.751552101615
2273.9758128777958,-2612.9172509625
2299.295872166499,-2612.8430190865256
2427.837186963985,-2612.7517606188394
2442.069705614681,-2612.7684062939466
2456.3169381486173,-2612.7899668556483
2454.891381836657,-2612.787592116223
2748.3317864946607,-2614.14780189601
2693.4448363568736,-2613.7759016989176
2456.119506111521,-2612.789635104256
2470.772946155474,-2612.8167372943735
2476.067488882928,-2612.8277530195055
2452.6157312932155,-2612.7839008828055
2490.505816377621,-2612.8610326724147
2181.62712901095,-2613.367925867872
2060.768031765357,-2614.4477871645067
2022.7057009157954,-2614.920948508957
2516.718249850676,-2612.9332738438134
2556.126574643495,-2613.069382576023
2123.986979408839,-2613.8074853108346
2123.986979408839,-2613.8074853108346
2034.9076256042822,-2614.761700931054
2309.745754295862,-2612.8181367933325
2335.0616356788,-2612.7713288123755
2365.808661878704,-2612.7392013040344
2348.0301178114137,-2612.754540930759
2229.0251005939263,-2613.0999226572953
2321.0058050628854,-2612.794990907339
2493.054024148411,-2612.867392506092
2043.9775146156085,-2614.648000270748
2119.736848911052,-2613.8451543309625
2185.7560836227335,-2613.3413449377026
2215.670117573751,-2613.1673447113035
2047.2272188336083,-2614.6082167537097
2500.4905869653367,-2612.886776176432
2481.4850548666614,-2612.839687753937
2537.1051686289275,-2612.9996638558837
2015.3838308172724,-2615.0200273080836
2123.0778356963797,-2613.8154802704466
2536.7424863030064,-2612.9984066754796
2399.065240055545,-2612.733515919177
2312.4042850714322,-2612.812331591808
2150.1336964023453,-2613.591923044132
2472.615092326282,-2612.820497020226
2307.2802872031734,-2612.8237099055495
2335.2439839561034,-2612.7710594696755
2335.1760418634653,-2612.7711597136986
2319.698064250325,-2612.7974861165676
2502.822655560384,-2612.8931057822447
2349.433870089211,-2612.753009572863
2423.890139986976,-2612.748025742782
2385.388131133517,-2612.732297602888
2253.6287768447255,-2612.991664194054
2169.3668886493224,-2613.4506175888246
2270.2410294182423,-2612.929908101654
2470.5467011657906,-2612.816280927925
2406.1232428116955,-2612.736045884161
2451.5575192067326,-2612.7822262378654
2343.5017111400784,-2612.759859781975
2343.5017111400784,-2612.759859781975
2185.6181503220128,-2613.342222693469
